material_code,plant_id,time_bucket,week_bucket,date,demand_qty,uom,source_type,source_id,customer_id,project_id,priority,status,notes
FG-001,PLANT-01,2024-W01,2024-W01,2024-01-01,1177,pcs,SO,SO-2024-4090,CUST-004,,2,confirmed,
FG-002,PLANT-01,2024-W01,2024-W01,2024-01-01,0,pcs,forecast,FORECAST-2024-4580,,,1,confirmed,
FG-003,PLANT-02,2024-W01,2024-W01,2024-01-01,2325,pcs,SO,SO-2024-5379,CUST-003,,2,confirmed,
FG-004,PLANT-01,2024-W01,2024-W01,2024-01-01,92,pcs,SO,SO-2024-4552,CUST-003,,1,confirmed,
FG-005,PLANT-02,2024-W01,2024-W01,2024-01-01,711,pcs,manual,MANUAL-2024-7814,,,1,confirmed,
FG-001,PLANT-01,2024-W01,2024-W01,2024-01-02,1128,pcs,SO,SO-2024-5183,CUST-007,,1,confirmed,
FG-002,PLANT-01,2024-W01,2024-W01,2024-01-02,303,pcs,manual,MANUAL-2024-2895,,,2,confirmed,
FG-003,PLANT-02,2024-W01,2024-W01,2024-01-02,2348,pcs,manual,MANUAL-2024-9445,,,2,confirmed,
FG-004,PLANT-01,2024-W01,2024-W01,2024-01-02,69,pcs,forecast,FORECAST-2024-8888,,,1,confirmed,
FG-005,PLANT-02,2024-W01,2024-W01,2024-01-02,0,pcs,forecast,FORECAST-2024-1714,,,1,confirmed,
FG-001,PLANT-01,2024-W01,2024-W01,2024-01-03,982,pcs,forecast,FORECAST-2024-9465,,,1,confirmed,
FG-002,PLANT-01,2024-W01,2024-W01,2024-01-03,265,pcs,SO,SO-2024-1247,CUST-001,,1,confirmed,
FG-003,PLANT-02,2024-W01,2024-W01,2024-01-03,2384,pcs,SO,SO-2024-4266,CUST-002,,1,confirmed,
FG-004,PLANT-01,2024-W01,2024-W01,2024-01-03,0,pcs,forecast,FORECAST-2024-2514,,,1,confirmed,
FG-005,PLANT-02,2024-W01,2024-W01,2024-01-03,663,pcs,manual,MANUAL-2024-9467,,,2,confirmed,
FG-001,PLANT-01,2024-W01,2024-W01,2024-01-04,991,pcs,SO,SO-2024-3272,CUST-001,,1,confirmed,
FG-002,PLANT-01,2024-W01,2024-W01,2024-01-04,254,pcs,SO,SO-2024-9393,CUST-003,,3,confirmed,
FG-003,PLANT-02,2024-W01,2024-W01,2024-01-04,5324,pcs,manual,MANUAL-2024-3943,,,1,confirmed,
FG-004,PLANT-01,2024-W01,2024-W01,2024-01-04,74,pcs,SO,SO-2024-2590,CUST-004,,1,confirmed,
FG-005,PLANT-02,2024-W01,2024-W01,2024-01-04,554,pcs,forecast,FORECAST-2024-3083,,,1,confirmed,
FG-001,PLANT-01,2024-W01,2024-W01,2024-01-05,970,pcs,forecast,FORECAST-2024-5841,,,3,confirmed,
FG-002,PLANT-01,2024-W01,2024-W01,2024-01-05,247,pcs,SO,SO-2024-7311,CUST-001,,3,confirmed,
FG-003,PLANT-02,2024-W01,2024-W01,2024-01-05,2309,pcs,forecast,FORECAST-2024-8306,,,2,confirmed,
FG-004,PLANT-01,2024-W01,2024-W01,2024-01-05,0,pcs,forecast,FORECAST-2024-9977,,,1,confirmed,
FG-005,PLANT-02,2024-W01,2024-W01,2024-01-05,698,pcs,manual,MANUAL-2024-7608,,,1,confirmed,
FG-001,PLANT-01,2024-W01,2024-W01,2024-01-06,431,pcs,SO,SO-2024-4402,CUST-004,,2,confirmed,
FG-002,PLANT-01,2024-W01,2024-W01,2024-01-06,153,pcs,manual,MANUAL-2024-6695,,,2,confirmed,
FG-003,PLANT-02,2024-W01,2024-W01,2024-01-06,982,pcs,forecast,FORECAST-2024-8053,,,2,confirmed,
FG-004,PLANT-01,2024-W01,2024-W01,2024-01-06,36,pcs,SO,SO-2024-1592,CUST-003,,2,confirmed,
FG-005,PLANT-02,2024-W01,2024-W01,2024-01-06,319,pcs,manual,MANUAL-2024-9370,,,1,confirmed,
FG-001,PLANT-01,2024-W01,2024-W01,2024-01-07,243,pcs,SO,SO-2024-7382,CUST-016,,1,confirmed,
FG-002,PLANT-01,2024-W01,2024-W01,2024-01-07,177,pcs,SO,SO-2024-7191,CUST-012,,1,confirmed,
